task,EuroLLM-1.7B-Instruct,EuroLLM-1.7B-Instruct,EuroLLM-1.7B-Instruct,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,SmolLM2-1.7B-Instruct,SmolLM2-1.7B-Instruct,SmolLM2-1.7B-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,ZharfaOpen-0309,ZharfaOpen-0309,ZharfaOpen-0309,gemma-3-1b,gemma-3-1b,gemma-3-1b,gemma-3-4b,gemma-3-4b,gemma-3-4b,salamandra-2b-instruct,salamandra-2b-instruct,salamandra-2b-instruct
,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2
first_alphabetically_same_first_letter,0.2,0.2,0.0,1.1,19.2,0.0,14.4,23.4,37.7,7.1,44.5,18.2,46.4,49.4,48.6,0.3,27.6,0.5,0.0,0.0,0.0,44.0,40.4,27.6,44.9,49.1,47.1,54.3,54.5,1.2,0.2,7.7,0.2
any_words_from_category_5_distractors,0.0,0.0,0.0,65.9,61.1,8.2,97.5,97.2,100.0,99.5,100.0,100.0,100.0,100.0,88.5,0.0,0.0,0.0,0.0,0.0,0.0,6.2,9.3,78.5,98.8,97.2,99.1,94.4,87.8,96.0,0.0,0.0,0.0
any_words_from_category_4_distractors,0.1,0.2,0.5,8.2,15.2,22.6,4.7,7.8,0.0,2.5,0.0,0.0,0.0,0.1,7.9,99.9,99.9,99.8,1.1,7.6,6.1,96.6,96.8,27.9,5.5,4.1,0.4,13.4,32.3,20.8,1.0,0.3,0.0
any_words_from_category_3_distractors,0.4,0.6,0.8,20.3,24.7,12.9,8.5,17.3,0.0,3.9,0.2,0.0,0.2,0.5,5.9,100.0,100.0,99.8,2.6,9.6,9.1,98.8,99.0,42.4,9.5,7.5,2.4,40.7,61.9,51.8,0.9,0.4,0.0
all_words_from_category_0_distractors,0.1,0.5,0.0,25.7,22.9,20.4,14.1,8.2,1.0,71.0,53.4,5.1,8.1,5.7,4.3,99.7,99.9,98.1,4.8,17.0,0.4,97.7,95.5,75.4,17.4,10.1,5.2,73.3,77.5,68.6,6.4,3.9,0.1
all_words_from_category_1_distractors,0.0,0.0,0.0,58.4,67.9,51.9,96.4,99.7,100.0,62.0,78.8,99.6,99.1,98.8,99.4,0.0,0.0,0.0,0.0,0.0,0.0,6.5,10.9,43.9,82.1,92.7,97.5,44.7,27.1,55.9,0.0,0.0,0.0
all_words_from_category_2_distractors,0.0,0.0,0.0,77.9,81.1,68.0,99.3,100.0,100.0,72.7,83.7,99.9,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,20.3,59.1,88.3,96.7,98.5,78.7,54.2,80.6,0.0,0.0,0.0
rhyming_word_orthographically_similar,0.2,0.3,0.0,0.0,0.0,0.0,35.9,44.9,30.8,1.3,1.5,13.7,43.7,23.0,46.8,0.0,0.1,0.2,0.2,1.9,0.0,0.2,12.8,19.6,46.9,40.3,40.0,65.5,64.6,47.7,6.5,5.3,0.0
more_letters_length_diff_3plus,1.2,0.1,0.0,0.3,0.0,0.0,51.1,52.1,2.1,3.4,3.3,2.3,62.1,50.5,33.3,0.1,0.0,1.0,0.2,0.1,0.0,1.1,0.4,2.6,43.4,64.7,12.3,84.8,90.6,31.8,4.1,6.1,0.0
more_letters_length_diff_1,1.3,0.2,0.0,0.0,0.0,0.0,51.3,41.6,4.0,3.8,3.5,3.3,49.4,40.6,36.3,0.1,0.0,1.4,0.5,0.9,0.1,1.0,0.3,1.7,46.5,54.9,9.0,67.8,67.0,22.0,5.0,9.1,0.0
less_letters_length_diff_3plus,0.2,0.0,0.1,3.9,0.0,0.0,57.7,67.8,28.8,2.8,16.5,9.7,70.2,3.3,70.8,0.1,0.2,2.1,1.9,1.0,0.1,0.1,4.3,0.5,30.9,38.8,33.8,83.5,81.0,56.1,5.8,4.3,0.0
less_letters_length_diff_1,0.3,0.3,0.0,1.4,0.0,0.0,45.8,51.7,23.1,3.4,21.3,13.9,46.0,3.2,57.2,0.1,0.3,2.2,0.8,0.3,0.3,0.3,2.8,0.4,44.4,47.6,42.6,68.9,63.1,51.3,4.5,3.0,0.0
