task,ALLaM-7B-Instruct-preview,ALLaM-7B-Instruct-preview,ALLaM-7B-Instruct-preview,EuroLLM-1.7B-Instruct,EuroLLM-1.7B-Instruct,EuroLLM-1.7B-Instruct,gemma-3-1b,gemma-3-1b,gemma-3-1b,gemma-3-4b,gemma-3-4b,gemma-3-4b,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-1.5B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,salamandra-2b-instruct,salamandra-2b-instruct,salamandra-2b-instruct,SmolLM2-1.7B-Instruct,SmolLM2-1.7B-Instruct,SmolLM2-1.7B-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,ZharfaOpen-0309,ZharfaOpen-0309,ZharfaOpen-0309
,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2,t0,t1,t2
first_alphabetically_consecutive_first_letter,56.8,54.2,55.1,50.5,49.5,49.8,44.8,37.9,44.7,56.2,58.5,51.4,98.7,99.4,90.8,44.1,57.3,43.7,36.5,42.1,28.6,57.4,46.6,37.7,2.9,18.0,4.6,48.0,44.8,28.8,22.3,21.5,22.9,70.5,67.4,61.6
first_alphabetically_same_first_letter,53.6,53.6,53.2,49.8,48.9,48.1,43.8,37.1,45.8,55.0,58.8,50.4,82.8,84.8,70.5,33.3,47.0,32.4,31.3,37.9,27.1,48.7,42.2,36.5,4.9,16.2,5.8,46.6,44.1,26.4,20.3,18.5,18.5,52.2,54.1,50.5
any_words_from_category_5_distractors,100.0,100.0,100.0,96.5,35.8,44.4,63.9,55.0,99.9,100.0,100.0,100.0,34.0,34.4,34.4,100.0,100.0,99.9,100.0,100.0,100.0,34.3,35.0,38.7,30.9,29.4,34.4,39.0,36.9,36.9,27.5,27.1,20.9,99.8,99.7,100.0
any_words_from_category_4_distractors,0.2,12.1,47.4,38.8,98.1,96.4,14.5,91.6,19.3,3.0,48.1,48.8,17.2,28.3,32.9,0.0,5.6,18.2,1.8,6.5,24.6,0.2,2.5,24.6,12.7,16.5,6.1,0.5,2.6,6.8,12.7,10.5,14.6,10.6,11.0,12.1
any_words_from_category_3_distractors,17.9,64.1,87.4,73.5,99.9,100.0,32.0,96.6,71.2,41.5,92.7,96.6,32.8,34.1,36.0,2.3,29.2,47.9,13.7,33.2,70.3,2.5,16.4,38.9,25.8,28.2,18.6,8.0,16.5,26.0,15.3,12.3,15.9,52.2,57.7,68.7
all_words_from_category_0_distractors,100.0,100.0,100.0,100.0,100.0,100.0,30.1,100.0,83.1,100.0,100.0,100.0,33.4,30.7,29.9,77.1,97.5,0.0,88.6,100.0,79.3,42.5,45.6,55.8,35.5,33.6,23.2,36.8,33.1,32.9,35.5,7.9,4.1,100.0,100.0,88.8
all_words_from_category_1_distractors,22.0,13.5,29.7,0.0,0.0,0.0,86.0,1.2,61.1,19.9,6.6,74.2,5.7,8.8,25.5,85.1,62.1,100.0,57.4,9.3,60.6,25.9,24.3,25.0,1.4,1.5,23.3,5.4,0.5,2.0,4.3,29.8,30.8,12.5,2.5,55.9
all_words_from_category_2_distractors,78.3,60.2,74.9,0.9,0.0,0.0,96.3,11.5,84.7,73.8,38.1,97.8,22.8,26.2,33.0,98.7,95.0,100.0,87.3,51.2,85.3,35.7,35.5,34.2,8.0,7.1,28.3,22.8,2.5,5.6,9.3,31.0,31.4,59.9,33.3,89.4
rhyming_word_orthographically_similar,76.6,75.4,53.6,0.0,8.5,51.5,3.3,0.1,15.7,11.0,86.2,53.8,1.2,10.0,30.2,2.1,34.2,26.4,0.0,1.3,24.7,0.5,24.1,18.5,0.2,1.2,8.6,19.5,14.3,18.7,0.9,7.5,16.5,27.0,28.3,55.1
rhyming_word_orthographically_different,56.9,55.3,47.8,0.0,8.5,49.4,3.2,0.0,13.0,6.6,58.1,49.9,0.3,4.2,20.6,0.6,28.3,20.6,0.0,1.1,20.7,0.4,15.9,14.0,0.4,1.3,5.7,16.9,14.5,17.9,0.7,6.7,16.8,19.0,20.8,45.8
more_letters_length_diff_3plus,98.3,98.5,90.1,56.7,57.3,58.3,3.0,14.7,0.8,73.3,34.2,47.3,88.7,84.8,76.9,54.9,79.4,62.5,36.5,49.6,66.8,80.3,67.2,58.1,12.3,26.3,2.0,30.2,34.5,30.9,22.3,23.4,10.4,76.2,22.0,71.9
more_letters_length_diff_1,81.2,80.9,70.8,52.0,53.2,52.8,3.2,19.7,2.6,51.4,22.0,39.7,69.8,75.0,63.5,45.5,70.8,53.5,29.3,33.8,56.9,62.6,58.0,51.0,8.4,17.8,1.9,23.0,23.5,21.8,20.6,20.6,8.9,57.0,14.5,55.7
less_letters_length_diff_3plus,93.0,87.5,73.4,41.6,49.0,43.5,16.0,3.3,7.9,32.7,27.0,45.6,97.4,98.9,95.5,42.2,73.2,50.6,44.0,44.3,59.9,65.4,62.4,74.5,8.1,11.9,3.0,22.6,20.2,20.8,18.3,19.7,7.1,61.5,40.4,47.1
less_letters_length_diff_1,67.4,64.8,59.0,44.8,49.5,44.1,15.6,5.8,10.8,24.2,18.4,43.2,91.2,85.2,94.3,47.6,72.5,54.5,48.6,49.4,54.7,60.0,55.8,65.6,9.0,12.9,3.7,22.0,20.1,20.0,21.2,20.7,8.6,56.8,37.8,45.5
